username,comment_text,tagged_users_count,post_shortcode,comment_len
love82lv,🏃‍♂️ 🏃‍♀️ 🏃‍♂️ 🏃‍♂️ ❤️열정과 능력을 통해 희망과 즐거움을 안겨 주길 바랍니다. 무엇보다도 끝까지 최선을 다해주세요!! 의지굳고 단단한 힘을 되었으면 하는 바람으로 아자아자 파이팅~~ 아자아자 화이팅!! @rudgml9641 @hk0735love,0,DSuGGGvDFB7,146
se_jin_p,@kimd5320 🏃🏻‍♀️🏃🏻🏃🏻‍♀️🏃🏻🏃🏻‍♀️🏃🏻,0,DSuGGGvDFB7,31
ks01112,올해도 달리자!!! 🏃‍♀️🏃🏃‍♂️🏃‍♀️🏃@gyey1101,0,DSuGGGvDFB7,34
limssun,💪🏃‍♀️🫶👍 @imseonai,0,DSuGGGvDFB7,17
tjtjvhvh,올해도 힘차게 달려보자~~~! 🏃🏻🐎🔥🕶🤟🏻🎵,0,DSuGGGvDFB7,25
greeny_hj,"🏃‍♀️🏃🏃‍♂️🔥

자외선은 여름에만 있는 게 아니고,
겨울 포함 사계절 다 있는거니까!!
피부보호 너무너무 중요해😆

러닝할 때 건강과 피부까지 챙겨가면서 새해에 더 열심히 많이 뛰러다니자!!

@zzxzero @jjuns_s @simya_parksfood @team_greendonor",0,DSuGGGvDFB7,162
minvelyss,"🏃‍♀️🏃‍♂️🏃💪💪💪👏👏👏 
@yyang0319",0,DSuGGGvDFB7,27
jin_jongtae_kim,여전히 풀코스를 뛸수있는 심장과 다리를 유지할수 있기를 기원합니다!! 🤗👍👍👍👍🧚‍♂️🧚‍♂️🧚‍♂️🏃‍♂️‍➡️🏃,0,DSuGGGvDFB7,64
kyounga0575,매일 걷기운동하자❤️. @yangseonung,0,DSuGGGvDFB7,25
rkgusqls,💪💃🔥 @jyj1_208,0,DSuGGGvDFB7,13
nowfit_hyo,🏃🏻‍♂️🏃‍♀️🔥👍 @_.yul_luy._ @dongyoung_29 @3_haell @hyeon99yu,0,DSuGGGvDFB7,58
ato._.jo,달리기를 향한 제 열정은 캄프 선스틱도 못 막죠! 🏃‍♀️🔥💪☀️👟 끈적임 없이 산뜻하게 피부를 지켜줄 것 같아 너무 기대됩니다. 추가 증정해주시는 카밍 패드까지 받아서 완벽한 러닝 케어 해보고 싶어요! ✨💨💪🔥☀️🌈 @rowell._.1,0,DSuGGGvDFB7,133
hello_my_youth_,🔥🏃🏻‍♀️🏃🏻‍♀️☀️ @soeunera9,0,DSuGGGvDFB7,24
